name,rating,total_reviews,price,buyers
"Raj Eco Compostable Palm Leaf Plates Like Bamboo Plates Disposable - 4 Inch Square 100 Party Plates, Natural Wooden, Eco-Friendly, Fancy Biodegradable & Disposable Wedding Picnic Plates",4.4,33,26,N/A
"Compostable Bamboo Disposable Plates 5 Compartments, 50 Pack - Heavy Duty, Microwavable, Oven Safe - Divided Tray for Meals, Lunch - Eco-Friendly, Biodegradable (Style 1)",4.3,111,39,50+
Palm Leaf Plates Bamboo Paper Plates Disposable 10 Inch & 6 Inch Bulk Party Pack Eco Compostable Biodegradable Wooden Plates Best Alternative To Plastic Paper Plates (100 pc),4.3,127,55,N/A
"Dhaey Compostable Plates 7 inch, 50pcs Biodegradable Dinnerware Compostable Paper Plate, biodegradable paper plate, Natural round disposable baggase plate for Party Microwave Safe Eco Plates Utensils",4.7,17,8,N/A
| 10 inch & 6 inch & 3 inch Combo Plates 75 pcs | Disposable Plates | Like Bamboo plates | Palm leaf Plates for Dinner | Compostable Plates | Picnic Party Plates better than Paper Plates,4.6,26,29,N/A
GREEN SAHARA 6 Inch Paper Plates [100-Pack] Disposable Party Plates I Heavy Duty Eco-Friendly Paper Pulp Plates I 100% compostable Biodegradable Sugarcane Eco Plates,5.0,1,6,N/A
"SUGARFIBER 10-inch Compostable Disposable Paper Plates, White Floral Acanthus Collection [100 COUNT]",4.7,605,29,N/A
"100% Compostable Paper Plates 7 Inch 150 Pcs Disposable Heavy-Duty Plates Eco-Friendly Natural Sugarcane Bagasse Fiber Biodegradable for BBQ,Party,Picnic Etc",5.0,10,12,50+
SOLAS Christmas Paper Plates - Festive Disposable Christmas Tree Paper Plates - Biodegradable & Fully Compostable Holiday Party Paper Plates - Pack of 20 x 9 Inch Christmas Paper Dinner Plates,4.7,189,11,N/A
"ECO SOUL 15 cm (6 Inch Small), 100 Pack Disposable Bagasse Plates | Eco-friendly, Biodegradable, Sugarcane Paper Plates | For Serving Snacks & Dinner | Birthday, Wedding & Party | Square, White",4.7,212,13,N/A
"40 10"" Square Palm Leaf Plates + 80 Cutlery or Wood Plates. Heavy Duty, 100% Compostable & Biodegradable Eco Friendly Party Plates (10 inch palm leaf plates)",4.7,1134,31,N/A
"Sophistiplate Eco-Friendly Compostable Dinner Plates - Made of Bamboo Wood Fiber, and Sugarcane- Biodegradable and Disposable Party Plates- Sturdy & Heavy Duty - Pack of 16",4.5,43,24,N/A
"Disposable plates 10inch square plates 16cm fork and knife 50pcs Palm Leaf plates better than plastic plates Eco-Friendlye Like Bamboo Wood Plates Party,Wedding,Event Plate Pack of 150",5.0,2,24,N/A
"Talking Tables 8 x Safari Animal Themed Paper Plates for Girls & Boys Birthday or Baby Shower | Jungle Zoo, Madagascar Friendly Disposable Dishes for Kids Eco Choice",4.6,87,7,N/A
ECO SOUL 100% Compostable 10 Inch Paper Plates [1000-Pack] Disposable party plates I Heavy duty Eco-friendly Desert plates Disposable I Biodegradable Unbleached sugarcane Eco plates,3.7,3,123,N/A
"Dtocs Palm Leaf Plates Set (50 Pcs) Oval Plates 7x5 Inch | Bamboo Plates Disposable Like Compostable Decorative Dinnerware Sturdy than Paper Plates | Designer Plates for Serving Dessert, Cake, Salad",4.5,45,27,N/A
"100% Paper Plate,Compostable,Recyclable,Disposable,(9-inch),(40-pack),for Party,Birthday,BBQ,Camping., large, White",N/A,N/A,5,N/A
"40 PCS 10"" Square Palm Leaf Plates Like Bamboo Plates Disposable Eco Friendly 100% Natural Leaf Plates Compostable Appetizer Plates Disposable Perfect for Parties, Sustainable Events",4.6,100,29,N/A
"Raj Eco Compostable Palm Leaf Plates Like Bamboo Plates Disposable - 8 Inch Square 25 party plates, Natural wooden, Eco-Friendly, fancy Biodegradable & Disposable Dessert appetizer Plates",4.8,146,15,N/A
"9-Inch Disposable Paper Plates - 300 Count - Bulk Pack of Uncoated Paper Plates for Everyday Use - Dinnerware for Meals, Parties And Picnics",4.1,39,20,N/A
"Dtocs Palm Leaf Plates (50), 9"" Round | Bamboo Plates Disposable Like Eco-friendly Compostable Party Plates For Wedding, Camping, Birthday Dinner | Serving Platters Sturdy than Paper Plates",4.6,31,29,N/A
